player_id,name,college_dom_score,college_final_year,college_games,college_pass_yds,college_pass_tds,college_ints,college_rush_yds,college_rush_tds,college_rec,college_rec_yds,college_rec_tds
00-0027071,Stephen McGee,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0027201,Dimitri Nance,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0027349,Stephen Williams,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0027358,Roberto Wallace,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0027467,Javarris James,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0027795,David Gettis,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0027880,Jahvid Best,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0027259,Jake Ballard,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0027666,Montario Hardesty,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0027722,Mike Kafka,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0027982,Titus Young,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0028057,Delone Carter,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0028068,Jamie Harper,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0028163,Anthony Allen,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0028565,Armando Allen,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0028602,Brandon Saine,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0027602,Graham Harrell,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0027976,Ryan Williams,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0027995,Mikel Leshoure,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0028170,Baron Batch,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0028400,Armon Binns,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0028416,Richard Murphy,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
