player_id,name,position,team,espn_id,draft_number,draft_round,college_dom_score,projected_pts_g,scale_factor,college_final_year,comp_name
00-0040891,Cole Payton,QB,PHI,4879250,178,6,24.8,13.7,0.55,"2025: 2719yds/16td/4int pass, 777yds/13td rush, 2rec/5yds/0td",Spencer Rattler
00-0040867,Makai Lemon,WR,PHI,4870795,20,1,21.4,12.3,0.57,"2025: 24yds/1td/0int pass, 4yds/2td rush, 79rec/1156yds/11td",Ricky Pearsall
00-0041092,Taylen Green,QB,CLE,4431325,182,6,22.2,12.2,0.55,"2025: 2714yds/19td/11int pass, 777yds/8td rush",Spencer Rattler
00-0041511,Omar Cooper,WR,NYJ,4723820,30,1,19.5,11.2,0.57,"2025: 74yds/1td rush, 69rec/937yds/13td",Ricky Pearsall
00-0041547,K.C. Concepcion,WR,CLE,4870653,24,1,17.0,9.8,0.57,"2024: 28yds/0td/0int pass, 75yds/1td rush, 61rec/919yds/9td",Ricky Pearsall
00-0041117,Athan Kaliakmanis,QB,WAS,4432722,223,7,16.3,9.0,0.55,2025: 3124yds/20td/7int pass,Spencer Rattler
00-0041056,Cade Klubnik,QB,NYJ,4685413,110,4,15.8,8.7,0.55,"2025: 2943yds/16td/6int pass, 94yds/4td rush, 1rec/19yds/0td",Spencer Rattler
00-0041084,Tanner Koziol,TE,JAX,4917427,164,5,14.1,7.5,0.53,"2024: 6yds/0td rush, 74rec/727yds/6td",Jelani Woods
00-0041123,Behren Morton,QB,NE,4431465,234,7,13.5,7.4,0.55,2025: 2780yds/22td/6int pass,Spencer Rattler
00-0041483,Eli Stowers,TE,PHI,4431574,54,2,12.9,6.8,0.53,"2024: 17yds/1td/0int pass, 2yds/0td rush, 62rec/769yds/4td",Ben Sinnott
00-0041032,Kenyon Sadiq,TE,NYJ,5083315,16,1,12.0,6.4,0.53,"2025: 6yds/0td rush, 51rec/560yds/8td",Brock Bowers
00-0041133,Dallen Bentley,TE,DEN,5159802,256,7,11.2,5.9,0.53,2025: 48rec/620yds/6td,Jelani Woods
